name,color,status,resolution,screentech,screensize,rear_cam,front_cam,pin,sim,cpu,ram,rom,os,gpu,size,weight,tech,wifi,bluetoorh,port,price,link
Macbook Air 2020 13.3 inch 256GB – Chính Hãng – MWTK2 – Silver,silver,new,1560 x 1600,retina,13,720p FaceTime HD camera,No,PIN liền,No,Hãng không công bố Intel Core i3 Thế hệ 10 1.10 GHz,Không hỗ trợ nâng cấp 8GB LPDDR4X (On board) 3733 MHz,256GB,MacOS,card onboard,304.1 mm x 212.4 mm,1.29 kg,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2 x Thunderbolt 3 (USB-C),20.850.000,https://www.techone.vn/macbook-air-13-3-inch-256gb-space-gray-chinh-hang-MWTK2-Silver.html
(MV912) – MacBook Pro 15in Touch Bar 512GB Space Gray- 2019 (Hàng chính hãng),space gray,new,2880 x 1800,retina,15,720p FaceTime HD camera,No,87W USB-C Power Adapter,No,"intel Intel Core i7 quad-core 8th 2.4GHz 2.6GHz 6‑core 9th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz Intel UHD Graphics 630",8GB onboard memory LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel UHD Graphics 630,undefined,1.8,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Four Thunderbolt 3 (USB-C) ports with support for: * Charging * DisplayPort * Thunderbolt (up to 40Gb/s) * USB 3.1 Gen 2 (up to 10Gb/s),50.050.000,https://www.techone.vn/mv912-macbook-pro-15in-touch-bar-512gb-space-gray-2019-hang-chinh-hang.html
(MUHN2) – Macbook Pro 13-inch 128G Space Gray (i5-1.4 GHz) – 2019 (Hàng chính hãng),space gray,new,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,retina,13.3-inch,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core Intel Core i5 1.4GHz 1.4GHz quad-core Intel Core i5, Turbo Boost up to 3.9GHz Intel Iris Plus 655",16GB 8GB onboard memory LPDDR3,128GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"* Two Thunderbolt 3 (USB-C) ports with support for: * Charging, DisplayPort, Thunderbolt (up to 40 Gbps) * USB-C 3.1 Gen 2 (up to 10 Gbps)",27.690.000,https://www.techone.vn/muhn2-macbook-pro-13-inch-128g-space-gray-i5-1-4-ghz-2019-hang-chinh-hang.html
MacBook Pro 15″ Touch Bar 256GB MPTR2 (2017) Space Gray,space gray,new,2880-by-1800 native resolution at 220 pixels per inch,retina,15.4-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,87W,No,Intel quad-core Intel Core i7 processor 2.8GHz Radeon Pro 555 with 2GB memory,16GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Radeon Pro 555 with 2GB memory,34.93 x 24.07 x 1.55,"1,83",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Four Thunderbolt 3 ports,47.990.000,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptr2-2017-space-gray.html
MacBook Pro 13” Touch Bar 512GB (2017) MPXY2 Silver,silver,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,61W USB-C Power Adapter,No,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,8GB onboard memory LPDDR3 2133MHz,512GB PCIe-based onboard SSD,MacOS,Intel Iris Plus Graphics 650,30.41 x 21.24 x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,41.390.000,https://www.techone.vn/macbook-pro-13-touch-bar-512gb-2017-mpxy2-silver.html
Macbook Pro 13″ Touch Bar 256GB (2017) MPXV2 SPACE GRAY,space gray,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,61W USB-C Power Adapter,No,Intel dual-core Intel Core i5 processor dual-core Intel Core i5 processor 3.1GHz Intel Iris Plus Graphics 650,8GB onboard memory LPDDR3 2133MHz,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus Graphics 650,30.41 x 21.24 x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,Thunderbolt,38.390.000,https://www.techone.vn/macbook-pro-13-touch-bar-256gb-2017-mpxv2-space-gray.html
Macbook Pro 13″ 256GB (2017) MPXT2 – SPACE GRAY,space gray,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,61W USB-C Power Adapter,No,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,8GB 2133MHz,256GB flash,MacOS,Intel Iris Graphics 640,30.41 x 21.24 x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",28.890.000,https://www.techone.vn/macbook-pro-13-256gb-2017-mpxt2-space-gray.html
(MUHR2)-Macbook Pro 13-inch 256GB Silver (i5-1.4 GHz) – 2019 (Hàng chính hãng),silver,new,13.3-inch (diagonal) LED-backlit display with IPS technology; 2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors,retina,13.3-inch,720p FaceTime HD camera,No,Li-Po 58 Wh,No,"intel intel quad-core 8th 1.4GHz 1.4GHz quad-core Intel Core i5, Turbo Boost up to 3.9GHz Intel Iris Plus 655",16GB 8GB onboard memory LPDDR3,256GB PCIe-based onboard SSD,MacOS,Intel Iris Plus 655,undefined,1.3,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"* Two Thunderbolt 3 (USB-C) ports with support for: * Charging, DisplayPort, Thunderbolt (up to 40 Gbps) * USB-C 3.1 Gen 2 (up to 10 Gbps)",28.790.000,https://www.techone.vn/muhr2-macbook-pro-13-inch-256gb-silver-i5-1-4-ghz-2019-hang-chinh-hang.html
Macbook Pro 256GB 13″ (2017) MPXU2 – SILVER,silver,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,61W USB-C Power Adapter,No,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,8GB 2133MHz,256GB flash,MacOS,Intel Iris Graphics 640,30.41 x 21.24 x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",28.790.000,https://www.techone.vn/macbook-pro-256gb-13-2017-mpxu2-silver.html
Macbook Pro 13″ 128GB (2017) MPXQ2,undefined,new,2560-by-1600 native resolution at 227 pixels per inch with support for millions of colors 500 nits brightness; Wide color gamut (P3).,retina,13.3-inch (diagonal) LED-backlit display with IPS technology;,720p FaceTime HD camera,No,61W USB-C Power Adapter,No,Intel dual-core Intel Core i5 chip thế hệ 7 ( kaby lake) 2.3GHz Intel Iris Graphics 640,8GB 2133MHz,128GB,MacOS,Intel Iris Graphics 640,30.41 x 21.24 x 1.49 cm,"1,37",Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"2 x ports Thunderbolt 3 (USB-C); Support for Charging, DisplayPort, ThunderBolt (up to 40Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",26.890.000,https://www.techone.vn/macbook-pro-13-128gb-2017-mpxq2.html
