bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,,,,https://www.techone.vn/macbook-air-2020-13-3-inch-512gb-chinh-hang-mvh52-gold.html,Macbook Air 2020,,,2 x Thunderbolt 3 (USB-C),26.850.000,,,,,13.3 inch,"Công nghệ IPS, LED Backlit",,,,"3 microphones, Headphones, Loa kép (2 kênh)",1.29 kg,
,,,,,https://www.techone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mgna3-white.html,Macbook Air 2020,,,,29.290.000,,,,,,,,,,,,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-mnyj2-silver-2017.html,The New macbook (2017) 12″ – MNYJ2 – SILVER – 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,Core i5 processor,920g,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-mnyl2-gold-2017.html,The New macbook (2017) 12″ – MNYL2 – Gold – 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,Core i5 processor,920g,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-256gb-mnym2-rose-gold.html,Macbook 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),27.690.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,,920g,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-256gb-mnyk2-gold.html,Macbook 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),27.690.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,,920g,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-mnyn2-rose-gold-2017.html,The New macbook (2017) 12″ – MNYN2 – Rose Gold – 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,Core i5 processor,920g,
,,,,,https://www.techone.vn/macbook-air-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mgn73-grey.html,Macbook Air 2020,,,,29.290.000,,,,,,,,,,,,
,,Core i5,,,https://www.techone.vn/the-new-macbook-2017-12-mnyg2-space-gray-2017.html,The New macbook (2017) 12″ – MNYG2 – SPACE GRAY – 2017,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),33.490.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,Core i5 processor,920g,
,,,,,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mydc2-silver.html,MacBook Pro 2020,,,,34.090.000,,,,,,,,,,,,
,,,,,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-myd92-grey.html,MacBook Pro 2020,,,,34.090.000,,,,,,,,,,,,
,,,,,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myda2-silver.html,MacBook Pro 2020,,,,29.490.000,,,,,,,,,,,,
,,Core i5,,,https://www.techone.vn/macbook-air-13-256gb-2017-mqd42.html,MacBook Air 13″ 256GB 2017,,,Đang cập nhật,25.590.000,,,,,"13.3""",Đang cập nhật,,,,Đang cập nhật,"1,35",
,,Core i5,,,https://www.techone.vn/macbook-air-13-128gb-2017-mqd32.html,MacBook Air 13″ 128GB 2017,,,Đang cập nhật,18.290.000,,,,,"13""",Đang cập nhật,,,,Đang cập nhật,Đang cập nhật,
,,Core i5 (1.2GHz),,,https://www.techone.vn/macbook-new-256gb-2018-gold-mrqn2.html,Macbook new 256Gb 2018,,,USB-C port with support for: Charging; USB 3.1 Gen 1 (up to 5 Gbps),19.490.000,,,,,12-inch (diagonal),LED-backlit display with IPS technology;,,,,,920g,
,,,,,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myd82-grey.html,MacBook Pro 2020,,,,29.490.000,,,,,,,,,,,,
,,,,,https://www.techone.vn/macbook-pro-15in-touch-bar-512gb-mptt2-2017-space-gray.html,MacBook Pro 15in Touch Bar 512GB MPTT2 2017,,,Four Thunderbolt 3 ports,57.590.000,,,,,15.4-inch (diagonal) LED-backlit display with IPS technology;,Retina,,,,quad-core Intel,"1,83",
,,,,,https://www.techone.vn/macbook-pro-15-touch-bar-512gb-mptv2-2017-silver.html,MacBook Pro 15″ Touch Bar 512GB MPTV2 2017,,,Four Thunderbolt 3 ports,57.590.000,,,,,15.4-inch (diagonal) LED-backlit display with IPS technology;,Retina,,,,quad-core Intel,"1,83",
,,,,,https://www.techone.vn/macbook-pro-15-touch-bar-256gb-mptu2-2017-silver.html,MacBook Pro 15″ Touch Bar 256GB MPTU2 2017,,,Four Thunderbolt 3 ports,47.990.000,,,,,15.4-inch (diagonal) LED-backlit display with IPS technology;,Retina,,,,quad-core Intel,"1,83",
,,,,,https://www.techone.vn/macbook-pro-13-touch-bar-256gb-2017-mpxv2-space-gray.html,Macbook Pro 13″ Touch Bar 256GB 2017,,,,38.390.000,,,,,13.3-inch (diagonal) LED-backlit display with IPS technology;,Retina,,,,dual-core Intel Core i5 processor,"1,37",
