name,price_sale,price,err_1,Hãng sản xuất,Chủng loại,Part Number,Mầu sắc,cpu,ram,Số khe cắm,Dung lượng tối đa,VGA,rom,"Bảo mật, Công nghệ",Màn hình,Webcam,Audio,Giao tiếp mạng,Giao tiếp không dây,Cổng giao tiếp,Pin,Kích thước (rộng x dài x cao),Cân nặng,Hệ điều hành,Phụ kiện đi kèm,url,website,tssss
Apple Macbook Pro 13 Touchbar (MV962) (i5 2.4Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Xám) (2019),40.499.000,,error_value,Apple,Macbook Pro 13 - 2019,MV962,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (2.4Ghz, 6MB cache)",8GB LPDDR3, ,16GB,Intel Iris Plus 655,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 58.2Wh", ,1.37 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-mv962-i5-24ghz8gb-ram256gb-ssd133mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Air 13 (Z128000BR) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Bạc),36.989.000,39.999.000,,Apple,Macbook Air 13,Z128SA/A,Bạc (Silver),"Apple M1 (chip with 8-core CPU and 8-core GPU), 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-z128000br-bac,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MGN63SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW),25.789.000,26.989.000,,Apple,Macbook Air 13 – 2020 NEW,MGN63SA/A,Xám (Space Grey),Apple M1 chip with 8-core CPU and 7-core GPU,8GB, ,8GB,Apple GPU 7 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 49.9Whr", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mgn63sa-a-xam-new,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MUHP2) (i5 1.4Ghz/8GB RAM/256GB SSD/13.3 inch/Mac OS/Xám) (2019),36.989.000,,error_value,Apple,Macbook Pro 13 - 2019,MUHP2,Xám (Space Grey) – Nhôm nguyên khối,"Intel Core i5 (1.4Ghz, 6MB cache)",8GB LPDDR3, ,16GB,Intel Iris Plus 645,256GB SSD,TouchID,"Retina 13.3"" (2560x1600) IPS Led Backlit True Tone",720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 58.2Wh", ,1.37 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-muhp2-i5-14ghz8gb-ram256gb-ssd133mac-osxam-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (MYD82SA/A) (Apple M1/8GB RAM/256GB SSD/13.3 inch IPS/Mac OS/Xám) (NEW),32.289.000,34.989.000,,Apple,Macbook Pro 13 – 2020 NEW,MYD82SA/A,Xám (Space Grey),Apple M1 chip with 8-core CPU and 8-core GPU,8GB, ,16GB,Apple GPU 8 core,256GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-myd82sa-a-xam-new,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MVH42) (i5 1.1Ghz/8GB /512GB SSD/13.3 inch IPS/MacOS/Bạc) (2020),31.489.000,33.989.000,error_value,Apple,Macbook Air 13 - 2020,MVH42,Bạc (Silver),"Intel Core i5 (1.1Ghz, 6MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,512GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mvh42,www.hanoicomputer.vn,50
Apple Macbook Pro 13 Touchbar (Z11C) (Apple M1/16GB RAM/512GB SSD/13.3 inch IPS/Mac OS/Xám),43.989.000,46.989.000,,Apple,Macbook Pro 13,Z11CSA/A,Xám (Space Grey),"Apple M1 chip with 8-core CPU and 8-core GPU, 16-core Neural Engine",16GB, ,16GB,Apple GPU with 8-core,512GB SSD,Backlit Magic Keyboard; TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD,Stereo speakers, ,Wifi 802.11ac - Bluetooth 5.0,"USB 3.1 Gen2, 2* Thunder Bolt 3","Built in Polymer, 58.2Whr", ,1.4 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-13-touchbar-z11csa-a-xam,www.hanoicomputer.vn,50
Apple Macbook Air 13 (MWTL2) (i3 1.1Ghz/8GB /256GB SSD/13.3 inch IPS/MacOS/Vàng) (2020),24.989.000,26.989.000,error_value,Apple,Macbook Air 13 - 2020,MWTL2,Vàng (Gold),"Intel Core i3 (1.1Ghz, 4MB cache)",8GB LPDDR4, ,16GB,Intel Iris Plus Graphics,256GB SSD,TouchID,Retina 13.3 inch (2560x1600) IPS Led Backlit True Tone,720p HD, , ,Wifi 802.11ac - Bluetooth 5.0,"USB Type C, 2* Thunder Bolt 3","Polymer, 49.9Wh", ,1.29 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-air-13-mwtl2,www.hanoicomputer.vn,50
Apple Macbook Pro 16 Touchbar (MVVM2SA/A) (i9 2.3Ghz/16GB RAM/1TB SSD/16.0/Radeon 5500M 4G/ Mac OS/Bạc) (2019),66.989.000,71.999.000,error_value,Apple,Macbook Pro 16 – 2019,MVVM2SA/A,Bạc (Silver) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",16GB  DDR4,,32GB,Radeon Pro 5500M 4GB DDR6,1TB SSD,TouchID,16‑inch LED‑backlit display with IPS technology,720p HD,Stereo,,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",35.79 x 24.59 x 1.62 cm,2.0 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-16-touchbar-mvvm2sa-a-i9-2-3ghz-16gb-ram-1tb-ssd-16-0-radeon-5500m-4g-mac-os-bac-2019,www.hanoicomputer.vn,50
Apple Macbook Pro 15 Touchbar (MV932) (i9 2.3Ghz/16GB RAM/512GB SSD/15.4 inch/Radeon 560X 4GB/Mac OS/Bạc) (2019),65.999.000,,error_value,Apple,Macbook Pro 15 – 2019,MV932,Bạc (Silver) – vỏ nhôm khối,"Intel Core i9 (2.3Ghz, 16MB cache)",16GB  DDR4, ,32GB,Radeon Pro 560X 4GB DDR5,512GB SSD,TouchID,"15.4"" (2880x1800)",720p HD,Stereo, ,Wifi 802.11ac - Bluetooth 5.0,4x USB 3.1 Gen 2 tích hợp Thunder Bolt 3,"Công nghệ Lithium - polymer, 83.6Wh",34.93 x 24.07x 1.55 (mm),1.83 kg,Mac OS,AC Adapter,https://www.hanoicomputer.vn//apple-macbook-pro-15-touchbar-mv932-i9-23ghz16gb-ram512gb-ssd-154radeon-560x-4g-mac-osbac-2019,www.hanoicomputer.vn,50
