product_name,price_sale,params_1,ram,gpu,display,params_2,params_3,params_4,params_5,params_6,params_7,params_8,url,website
Macbook Pro MLL42 Option i5/16G/256Gb – 98%,22.000.000 ,2.0 GHz Intel Core i5 Dual-Core,16GB of 1866 MHz RAM | 256GB PCIe SSD,Integrated Intel Iris Graphics 540,Supports One 5K or Dual 4K Displays,802.11ac Wi-Fi & Bluetooth 4.2,2 x Thunderbolt 3 (USB Type-C) Ports,720p FaceTime HD Camera & Dual Mics,3.5mm Headphones Jack | Stereo Speakers,macOS Sierra,"– Bảo hành 6 tháng, đổi trả trong vòng 7 ngày",– Miễn phí vận chuyển trên toàn quốc,https://macstores.vn/macbook-pro-mll42-16gb-ssd-256gb-99.html,macstores.vn
Macbook Pro MLW92 (Silver) 99%,39.500.000 ,2.9 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 1TB PCIe SSD,AMD Radeon Pro 460 GPU (4GB GDDR5),15″ 2880 x 1800 Retina Display at 220 pixels,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,3.5mm Headphone Jack | Stereo Speakers,macOS Sierra,– ,Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,"– Bảo hành 12 tháng, đổi trả trong 15 ngày",https://macstores.vn/macbook-pro-mlw92-silver-99.html,macstores.vn
Macbook Pro MLH52 Core i7 – 2.9Ghz – VGA 4Gb – SSD 2Tb (grey),39.000.000 ,2.9 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 2TB PCIe SSD,AMD Radeon Pro 460 GPU (4GB GDDR5),15″ 2880 x 1800 Retina Display at 220 pixels,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,3.5mm Headphone Jack | Stereo Speakers,macOS Sierra,"– Bảo hành 6 tháng, đổi trả trong 15 ngày",– Miễn phí vận chuyển trên toàn quốc,– Miễn phí hỗ trợ cài đặt phần mềm,https://macstores.vn/macbook-pro-mlh52-core-i7-2-9ghz-vga-4gb-ssd-2tb-grey.html,macstores.vn
Macbook Pro MLUQ2 97%,,2.0 GHz Intel Core i5 Dual-Core,8GB of 1866 MHz RAM | 256GB PCIe SSD,Integrated Intel Iris Graphics 540,Supports One 5K or Dual 4K Displays,802.11ac Wi-Fi & Bluetooth 4.2,2 x Thunderbolt 3 (USB Type-C) Ports,720p FaceTime HD Camera & Dual Mics,3.5mm Headphones Jack | Stereo Speakers,macOS Sierra,– Tặng kèm ba lô trị giá 500.000đ, hoặc mua Fitbit Charge HR trị giá 1.500.000đ chỉ với 800.000đ,https://macstores.vn/macbook-pro-mluq2-97.html,macstores.vn
MacBook Pro MLH12 98%,22.000.000 ,2.9 GHz Intel Core i5 Dual-Core,8GB of 2133 MHz RAM | 256GB PCIe SSD,Integrated Intel Iris Graphics 550,13.3″ 2560 x 1600 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,– ,https://macstores.vn/macbook-pro-mlh12-97.html,macstores.vn
MacBook Pro MLH32 (grey) 97%,27.000.000 ,2.6 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 256GB PCIe SSD,AMD Radeon Pro 450 GPU (2GB GDDR5),15.4″ 2880 x 1800 Retina Display,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,4 x Thunderbolt 3 (USB Type-C) Ports,3.5mm Headphone Jack | Stereo Speakers,Larger Force Touch Trackpad,macOS Sierra,"– Bảo hành 6 tháng, đổi trả trong vòng 15 ngày",https://macstores.vn/macbook-pro-mlh32-grey-97.html,macstores.vn
Macbook Pro MF840 13 inch 2015- (Core i5/Ram 8GB/SSD 256GB/Mới 97%),17.000.000 ,2.7 GHz Intel Core i5 (Broadwell),8GB of Onboard 1866 MHz LPDDR3 RAM,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"Bảo hành 6 tháng, đổi trả trong 15 ngày",Miễn phí vận chuyển trên toàn quốc,https://macstores.vn/macbook-pro-retina-mf840-97.html,macstores.vn
MacBook Pro Retina MF839 99%,16.800.000 ,– Điểm hiệu năng: 6.17 MS,– Ram : 8GB of Onboard 1866 MHz LPDDR3,– Integrated Intel Iris Graphics 6100,– 13.3″ LED-Backlit IPS Retina Display,– 2560 x 1600 Native Resolution,"– 802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","– Thunderbolt 2, USB 3.0, HDMI",– Force Touch Trackpad,– Mac OS X 10.10 Yosemite,"– Bảo hành 06 tháng, đổi trả trong 7 ngày",– ,https://macstores.vn/macbook-pro-retina-mf839.html,macstores.vn
Macbook Pro MLH52 Core i7 – 2.9Ghz – VGA 4Gb – SSD 1Tb (grey),37.000.000 ,2.9 GHz Intel Core i7 Quad-Core,16GB of 2133 MHz RAM | 1TB PCIe SSD,AMD Radeon Pro 460 GPU (4GB GDDR5),15″ 2880 x 1800 Retina Display at 220 pixels,802.11ac Wi-Fi | Bluetooth 4.2,Touch Bar | Touch ID Sensor,3.5mm Headphone Jack | Stereo Speakers,macOS Sierra,"– Bảo hành 12 tháng, đổi trả trong 15 ngày",– Tặng kèm ba lô trị giá 500.000đ, hoặc mua Fitbit Charge HR trị giá 1.500.000đ chỉ với 800.000đ,https://macstores.vn/macbook-pro-mlh52-2-9ghz-core-i7-16gb-vga-4gb-ssd-1tb-grey.html,macstores.vn
MF839 – MacBook Pro Retina 13 inch 2015 New 98% – i5 2.7/8GB/128GB,16.000.000 ,Điểm hiệu năng: 6.17 MS,Ram : 8GB of Onboard 1866 MHz LPDDR3,Integrated Intel Iris Graphics 6100,13.3″ LED-Backlit IPS Retina Display,2560 x 1600 Native Resolution,"802.11a/b/g/n/ac Wi-Fi, Bluetooth 4.0","Thunderbolt 2, USB 3.0, HDMI",Force Touch Trackpad,Mac OS X 10.10 Yosemite,"Bảo hành 06 tháng, đổi trả trong 7 ngày",Giảm 20% khi mua phụ kiện túi chống sốc và dán máy,https://macstores.vn/macbook-pro-retina-mf839-98.html,macstores.vn
