name,price_sale,cpu,ram,Màn hình:,Card màn hình:,rom,Kích thước và trọng lượng:,Camera:,Cổng kết nối:,Pin và sạc:,url,website
Macbook Pro Touch Bar 13 inch 2018 (Core i7 / 256GB / 16GB) Cũ,Liên h,,16GB,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2018-core-i7-256gb-16gb-cu.html,truesmart.com.vn
MacBook Pro Touch Bar 13 inch 2016 (i7 512GB 16GB) Cũ,"26,850,000 ",3.3GHz dual-core Intel Core i7 processor,16GB 2133MHz memory,"13.3 inch, Retina (2560 x 1600 pixels)",Intel Iris Graphics 550,512GB PCIe-based SSD1,1.37 kg,720p FaceTime HD,4 cổng Thunderbolt 3 ports,49.2 W h Li-Poly,/macbook-pro/macbook-pro-touch-bar-13-inch-2016-i7-512gb-16gb-cu.html,truesmart.com.vn
Macbook Air 13 inch 2017 Core i5 256GB 8GB RAM Cũ,"17,250,000 ",1.8GHz Intel Core i5 (Broadwell),8GB of 1600 MHz LPDDR3,"13.3"" 1440 x 900 LED-Backlit Glossy",Intel HD Graphics 6000 (Tích hợp),256GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD Camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,Pin 12 tiếng - 54-watt-hour lithium,/macbook-air/macbook-air-13-inch-2017-core-i5-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 512G/ 8G) Cũ,"37,500,000 ",,,,,512GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-512g-8g-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2018 (Core i5/ 512GB/ 8GB) Cũ,"29,250,000 ",,,,,512GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2018-core-i5-512gb-8gb-cu.html,truesmart.com.vn
Macbook Air 13 inch 2016 Core i5 128GB 8GB RAM Cũ,"14,750,000 ",Intel® Core™ i5-5250U Processor  1.6GHz,8GB of 1600MHz LPDDR3 onboard memory,13.3-inch (diagonal) LED,Intel HD Graphics 6000,128GB PCIe-based flash storage, ,720p FaceTime HD camera,"2 USB, Thunderbolt 2 port , MagSafe 2 power , SDXC card slot, 3.5 mm headphone jack",Built-in 54‑watt‑hour lithium‑polymer battery. 45W MagSafe 2 Power Adapter,/macbook-air/macbook-air-13-inch-2016-core-i5-128gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Air 13 inch 2017 Core i5 256GB 8GB RAM - NEW,Liên h,1.8GHz dual-core Intel Core i5 processor with 3MB shared L3 cache (Turbo Boost up to 2.9GHz),"8GB of 1,600MHz LPDDR3 RAM","13-inch, 1,440-x-900-pixel display",Intel HD Graphics 6000,256GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,54-watt-hour battery: Up to 12 hours wireless web browsing (claimed),/macbook-air/macbook-air-13-inch-2017-core-i5-256gb-8gb-ram-new.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 256G/ 8G) NEW,"40,950,000 ",,,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-256g-8g-new.html,truesmart.com.vn
Macbook Air 13 inch 2017 Core i7 256GB 8GB RAM Cũ,Liên h,2.2Ghz dual-core Intel Core i7,"8GB of 1,600MHz LPDDR3 RAM","13-inch, 1,440-x-900-pixel display",Intel HD Graphics 6000,256GB PCIe-based flash storage,1.7 x 32.5 x 22.7 cm - 1.35 kg,720p FaceTime HD Camera,2 x USB 3; 1 x Thunderbolt 2; 1 x SDXC card slot; 1 x 3.5mm headphone jack,Pin 12 tiếng - 54-watt-hour lithium,/macbook-air/macbook-air-13-inch-2017-core-i7-256gb-8gb-ram-cu.html,truesmart.com.vn
Macbook Pro Touch Bar 13 inch 2019 (i5 256G/8G) Cũ,Liên h,,,,,256GB,,,,,/macbook-pro/macbook-pro-touch-bar-13-inch-2019-i5-256g-8g-cu.html,truesmart.com.vn
Macbook Pro Retina 15 inch 2015 MJLQ2 / 512GB Cũ,"26,250,000 ",2.2 GHz Quad-Core Intel Core i7 (Turbo Boost 3.4 GHz) Crystalwell,16 GB 1600MHz DDR3L,15.4inch RETINA,Integrated Intel Iris Graphics,SSD 512GB, , , ,,/macbook-pro/macbook-pro-retina-15-inch-2015-mjlq2-512gb-cu.html,truesmart.com.vn
