name,price_sale,price,shipping,cpu,params_1,ram,rom,display,params_2,params_3,params_4,url,website
【CTO】 Macbook Pro 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 2TB SSD,62.000.000,62.000.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,16GB unified memory,2TB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-2tb-ssd.html,mac24h.vn
"【 OpenBox 】 Macbook Pro 13 inch 2020 Quad Core I5 2.0Ghz 16GB 1000GB  (MWP82, MWP52)",35.900.000,35.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,1000GB SSD storage¹,13-inch Retina display with True Tone,Magic Keyboard,Touch Bar and Touch ID,Four Thunderbolt 3 ports,https://mac24h.vn/openbox-macbook-pro-13-inch-2020-quad-core-i5-2.0ghz-16gb-1000gb-mwp82-mwp52.html,mac24h.vn
【OPENBOX】Macbook Air M1 13 inch 2020 Gray - Apple M1 8-Core CPU / 8GB / 512GB SSD,25.990.000,25.990.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8‑core CPU, ‑core GPU, and 16‑core Neural Engine",Magic Keyboard,8GB unified memory,512GB SSD storage¹,Retina display with True Tone,Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/openboxmacbook-air-m1-13-inch-2020-gray-apple-m1-8-core-cpu-8gb-512gb-ssd.html,mac24h.vn
"【OPENBOX】 Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",49.700.000,49.700.000,Phí giao hàng: 0 đ,2.3GHz 8-core 9th-generation Intel Core i9 processor,Turbo Boost up to 4.8GHz,16GB 2666MHz DDR4 memory,1TB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/openbox-macbook-pro-16-inch-2.3ghz-8-core-i9-1tb-ssd-radeon-pro-5500m-mvvk2-mvvm2.html,mac24h.vn
【CTO】 Macbook Pro 13 inch 2020 - Apple M1 8-Core CPU / 16GB / 1TB SSD,49.500.000,49.500.000,Phí giao hàng: 0 đ,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",Magic Keyboard,16GB unified memory,1TB SSD storage¹,13-inch Retina display with True Tone,Touch Bar and Touch ID,Force Touch trackpad,Two Thunderbolt / USB 4 ports,https://mac24h.vn/cto-macbook-pro-13-inch-2020-apple-m1-8-core-cpu-16gb-1tb-ssd.html,mac24h.vn
"【New 99%】 Macbook Pro 16 inch 2.3GHz 8-Core I9 1TB SSD Radeon Pro 5500M ( MVVK2 , MVVM2 )",47.500.000,47.500.000,Phí giao hàng: 0 đ,2.3GHz 8-core 9th-generation Intel Core i9 processor,Turbo Boost up to 4.8GHz,16GB 2666MHz DDR4 memory,1TB SSD storage¹,16-inch Retina display with True Tone,Touch Bar and Touch ID,Four Thunderbolt 3 ports,,https://mac24h.vn/new-99-macbook-pro-16-inch-2.3ghz-8-core-i9-1tb-ssd-radeon-pro-5500m-mvvk2-mvvm2.html,mac24h.vn
Macbook Pro Retina 15'' -2015 - MJLQ2 - Quad I7 16GB 256GB SSD Used,17.700.000,17.700.000,Phí giao hàng: 0 đ,"
	- Graphics: Integrated Intel Iris Graphics","
	- Ổ cứng SSD: 256 GB","
	- RAM: 16 GB 1600MHz DDR3L",,"
	- Màn hình: 15.4"" inch RETINA","
	- Độ Phân Giải : 2880 x 1800","
	- Cổng Mạng : 802.11ac Wi-Fi, Bluetooth 4.0","
	- Khe Cắm : Thunderbolt 2, USB 3.0, HDMI",https://mac24h.vn/macbook-pro-retina-2015-mjlq2-15inch-99.html,mac24h.vn
MR962 - Macbook Pro 15 inch 2018 Silver - 6 Core I7 16GB 256GB AMD PRO 555X 4GB  New 99%,35.990.000,35.990.000,Phí giao hàng: 0 đ,,,,,,,,,https://mac24h.vn/mr962-macbook-pro-15-inch-2018-256gb-sliver-99.html,mac24h.vn
MR962 - Macbook Pro 15 inch 2018 Silver - 6 Core I7 32GB 512GB AMD PRO 555X 4GB  New 99%,38.900.000,38.900.000,Phí giao hàng: 0 đ,,,,,,,,,https://mac24h.vn/mr962-macbook-pro-15-inch-2018-silver-6-core-i7-32gb-512gb-amd-pro-555x-4gb-new-99.html,mac24h.vn
【CTO - OPENBOX 】Macbook Air 2020 13 inch Gray -  Core I7 1.2Ghz 16GB 256GB,27.900.000,27.900.000,Phí giao hàng: 0 đ,Intel Iris Plus Graphics & Retina display with True Tone,Turbo Boost up to 3.8GHz,16GB 3733MHz LPDDR4X memory,256GB SSD storage¹,,Magic Keyboard ,Touch ID,Force Touch trackpad,https://mac24h.vn/macbook-air-2020-13-inch-core-i7-16gb-256gb-bn-option.html,mac24h.vn
