bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A10,    1.2MP - f2.2,,https://www.viettablet.com/ipad-10-2-gen-7-2019-4g-32gb-ll,iPad 10.2 inch Gen 7 (2019) - 32GB (Wifi+4G) Mới TBH,    iPadOS 13,,,8.990.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,     32 GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-32-gb-4g-like-new-99,iPad Air 32GB 4G Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,4.890.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    32GB,,,,,,,,
,,     Qualcomm SDM660 Snapdragon 660 (14 nm),     5 MP,,https://www.viettablet.com/xiaomi-mi-pad-4-4g-lte,Xiaomi Mi Pad 4 ( 4G - LTE),    Android 8.1 (Oreo); MIUI 9,,,6.490.000,    4GB,     13 MP,    1200 x 1920 pixels,    64GB,,,,,,,,
,,    Apple A8,    1.2 MP,,https://www.viettablet.com/ipad-mini-4-cu-like-new-99,iPad Mini 4 16GB 4G Cũ like new 99%,"    iOS 9, upgradable to iOS 12.4",,,5.590.000,    2GB,    8 MP,    1536 x 2048 pixels,    16GB,,,,,,,,
,,    Apple A8X,    1.2 MP,,https://www.viettablet.com/ipad-air-2-32gb,iPad Air 2 32GB 4G Cũ Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,6.190.000,    2 GB,    8 MP,    1536 x 2048 pixels,    32 GB,,,,,,,,
,,    Qualcomm SM8250 Snapdragon 865+ (7 nm+),"    8 MP, f/2.0",,https://www.viettablet.com/samsung-galaxy-tab-s7,Samsung Galaxy Tab S7 (6GB - 128GB) Công Ty,    Android 10,,,13.890.000,    6 GB,    camera kép,    1600 x 2560 pixels,     128 GB,,,,,,,,
,,    Apple A8X,    1.2 MP,,https://www.viettablet.com/ipad-air-2-128gb,iPad Air 2 128GB 4G Cũ Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,7.590.000,    2 GB,    8 MP,    1536 x 2048 pixels,    128 GB,,,,,,,,
,,    Qualcomm SDM660 Snapdragon 660 (14 nm),    5 MP,,https://www.viettablet.com/xiaomi-mi-pad-4-plus-4gb-128gb,Xiaomi Mi Pad 4 Plus (4GB | 128GB),    Android 8.1 (Oreo); MIUI 10,,,7.590.000,    4GB,     13 MP,     1200 x 1920 pixels,    128GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10.5-inch-2017-512gb-like-new,iPad Pro 10.5 inch 2017 (Wifi + 4G) 512GB (Like New 99%),"    iOS 10.3.2, upgradable to iOS 12.4",,,13.990.000,    4GB,     12 MP,    1668 x 2224 pixels,    256GB,,,,,,,,
,,    Hisilicon Kirin 950 8 nhân,    8 MP,,https://www.viettablet.com/huawei-mediapad-m3-84,Huawei MediaPad M3 8.4 (Like New 99%),    Android 7.0 (Nougat),,,3.190.000,     3 GB,     8 MP,    1600 x 2560 pixels,     16 GB,,,,,,,,
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-97-inch-128gb,iPad Pro 9.7 (2016) 128GB Like New 99% (Wifi + 4G),"    iOS 9.3.2, upgradable to iOS 12.4",,,8.890.000,    2GB,     12 MP,    1536 x 2048 pixels,    128GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-16gb-4g-trang,iPad Air 64GB (4G +Wifi) Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,5.390.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    64B,,,,,,,,
,,    Apple A8,    1.2 MP,,https://www.viettablet.com/ipad-mini-4-128gb,iPad Mini 4 128GB 4G like new 99%,"    iOS 9, upgradable to iOS 12.4",,,6.990.000,    2GB,    8 MP,    1536 x 2048 pixels,    128GB,,,,,,,,
,,    Apple A10 Fusion,    1.2 MP,,https://www.viettablet.com/ipad-9-7-inch-2018-gen-6-32gb-wifi-cu,iPad 9.7 inch (2018) Gen 6 32GB Wifi Cũ Like New 99%,"    iOS 11.3, upgradable to iOS 12.4",,,6.690.000,     2 GB,     8 MP,    1536 x 2048 pixels,     32 GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-10-5-inch-99,iPad Pro 10.5 inch 2017 (Wifi + 4G) 256GB (Like New 99%),"    iOS 10.3.2, upgradable to iOS 12.4",,,11.890.000,    4GB,     12 MP,    1668 x 2224 pixels,    256GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-16gb-wifi-cu-like-new-99,iPad Air 16GB Wifi Cũ Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,3.690.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,    Apple A10,    1.2MP - f2.2,,https://www.viettablet.com/ipad-10.2-inch-gen-7-2019-32gb-wifi-ll,iPad 10.2 inch Gen 7 (2019) - 32GB (Wifi),    iPadOS 13,,,7.690.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,     32 GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/ipad-air-3-10.5-inch-2019-wifi-64gb-cu-like-new-99,iPad Air 3 10.5 inch (2019) Wifi 64GB Like New 99%,    iOS 12,,,10.590.000,    3GB,    8 MP,    2224 x 1668 pixels,    64GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-3-like-new-99,iPad Mini 3 16GB 4G Cũ Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,4.890.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7.0 MP,,https://www.viettablet.com/ipad-mini-5-2019-64gb-wifi-cu-like-new-99,iPad Mini 5 2019 64GB Wifi Like New 99%,    iOS 12,,,8.790.000,     3 GB,    8.0 MP,    2048 x 1536 Pixels,    64GB,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-11-inch,iPad Pro 11 inch (2018) Wifi 64GB,"    iOS 12, upgradable to iOS 12.4",,,17.990.000,    4GB,     12 MP,    1668 x 2388 pixels,    64B,,,,,,,,
,,    Apple A8,    1.2 MP,,https://www.viettablet.com/ipad-mini-4-16gb,iPad Mini 4 32GB 4G Cũ like new 99%,"    iOS 9, upgradable to iOS 12.4",,,6.290.000,    2GB,    8 MP,    1536 x 2048 pixels,    32GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-129-2017-256gb,iPad Pro 12.9 inch GEN 2 (2017) 256GB Wifi / 4G,"    iOS 10.3.2, upgradable to iOS 12.4",,,15.590.000,    4GB,     12 MP,    2732 x 2048 pixels,    256GB,,,,,,,,
,,    Apple A6X ,    1.2 MP,,https://www.viettablet.com/ipad-4-32gb-4g-like-new,iPad 4 32Gb 4G Like New 99%,"    iOS 6, upgradable to iOS 10.3",,,3.790.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    32 GB,,,,,,,,
,,    Apple A8,    1.2 MP,,https://www.viettablet.com/ipad-mini-4-64gb,iPad Mini 4 64GB 4G Cũ like new 99%,"    iOS 9, upgradable to iOS 12.4",,,6.890.000,    2GB,    8 MP,    1536 x 2048 pixels,    64GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-gen-2-2017-512gb-wifi-4g,iPad Pro 12.9 inch GEN 2 (2017) 512GB Wifi / 4G,"    iOS 10.3.2, upgradable to iOS 12.4",,,16.690.000,    4GB,     12 MP,    2732 x 2048 pixels,    512GB,,,,,,,,
,,    Apple A6X ,    1.2 MP,,https://www.viettablet.com/ipad-4-64-gb-cu-like-new,iPad 4 64Gb 4G Like New 99%,"    iOS 6, upgradable to iOS 10.3",,,3.990.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    64 GB,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-129-2018-64gb-4g,iPad Pro 12.9 inch GEN 3 (2018) Wifi / 4G 64G,"    iOS 12, upgradable to iOS 12.4",,,21.490.000,    4GB,     12 MP,    2048 x 2732 pixels,    64B,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-11-inch-2018-wifi-4g-4gb-256gb-cu-like-new-99,iPad Pro 11 inch (2018) 256GB Wifi / 4G  Cũ Like New 99%,"    iOS 12, upgradable to iOS 12.4",,,20.500.000,    4GB,     12 MP,    1668 x 2388 pixels,    256GB,,,,,,,,
