bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xr-256gb-chinh-hang-vna-p50.html,iPhone XR 256GB Chính hãng VN/A ,"iOS 12, hỗ trợ lên iOS 14",,,Liên hệ,3GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, PDAF, OIS",828 x 1792 pixels,256GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xr-128gb-chinh-hang-vna-p49.html,iPhone XR 128GB Chính hãng VN/A ,"iOS 12, hỗ trợ lên iOS 14",,,13.790.000 VND,3GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, PDAF, OIS",828 x 1792 pixels,128GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A12 Bionic (7 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (4-core graphics),https://dienthoaimoi.vn/iphone-xr-64gb-chinh-hang-vna-p48.html,iPhone XR 64GB Chính hãng VN/A,"iOS 12, hỗ trợ lên iOS 14",,,12.190.000 VND,3GB,"12 MP, f/1.8, 26mm (wide), 1/2.55\"", 1.4µm, PDAF, OIS",828 x 1792 pixels,64GB,6.1 inches,Liquid Retina IPS LCD,"Nano-SIM, eSIM",150.9 x 75.7 x 8.3 mm (5.94 x 2.98 x 0.33 in),,,194 g (6.84 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-plus-cu-128gb-quoc-te-p28.html,iPhone 7 PLus cũ 128GB Quốc tế ,"iOS 10.0.1, hỗ trợ lên iOS 14",,,5.790.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",1080 x 1920 pixels,128GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),,,188 g (6.63 oz),Wi-Fi 802.11 a/b/g/n/ac
"4.2, A2DP, LE",,Apple A10 Fusion (16 nm),"7 MP, f/2.2, 32mm (standard)",PowerVR Series7XT Plus (six-core graphics),https://dienthoaimoi.vn/iphone-7-plus-cu-32gb-quoc-te-p27.html,iPhone 7 PLus cũ 32GB Quốc tế,"iOS 10.0.1, hỗ trợ lên iOS 14",,,5.290.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), 1/3\"", PDAF, OIS",1080 x 1920 pixels,32GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in),,,188 g (6.63 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-plus-128gb-chinh-hang-vna-p404.html,iPhone 8 Plus 128GB Chính hãng VN/A ,"iOS 11, hỗ trợ lên iOS 14",,,11.350.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",1080 x 1920 pixels,128GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.4 x 78.1 x 7.5 mm (6.24 x 3.07 x 0.30 in),,,202 g (7.13 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-plus-moi-256gb-quoc-te--p104.html,iPhone 8 Plus mới 256GB Quốc tế bản LL/A,"iOS 11, hỗ trợ lên iOS 14",,,10.990.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",1080 x 1920 pixels,256GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.4 x 78.1 x 7.5 mm (6.24 x 3.07 x 0.30 in),,,202 g (7.13 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-plus-moi-64gb-quoc-te-p103.html,iPhone 8 Plus mới 64GB Quốc tế bản LL/A,"iOS 11, hỗ trợ lên iOS 14",,,8.990.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",1080 x 1920 pixels,64GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.4 x 78.1 x 7.5 mm (6.24 x 3.07 x 0.30 in),,,202 g (7.13 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-plus-256gb-chinh-hang-vna-p43.html,iPhone 8 Plus 256GB Chính hãng VN/A ,"iOS 11, hỗ trợ lên iOS 14",,,12.190.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",1080 x 1920 pixels,256GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.4 x 78.1 x 7.5 mm (6.24 x 3.07 x 0.30 in),,,202 g (7.13 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2, 32mm (standard)",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-plus-64gb-chinh-hang-vna-p42.html,iPhone 8 Plus 64GB Chính hãng VN/A,"iOS 11, hỗ trợ lên iOS 14",,,10.290.000 VND,3GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",1080 x 1920 pixels,64GB,5.5 inches,Retina IPS LCD,Nano-SIM,158.4 x 78.1 x 7.5 mm (6.24 x 3.07 x 0.30 in),,,202 g (7.13 oz),Wi-Fi 802.11 a/b/g/n/ac
"5.0, A2DP, LE",,Apple A11 Bionic (10 nm),"7 MP, f/2.2",Apple GPU (three-core graphics),https://dienthoaimoi.vn/iphone-8-cu-256gb-quoc-te-sieu-luot-p37.html,iPhone 8 cũ siêu lướt 256GB Quốc tế ,"iOS 11, hỗ trợ lên iOS 14",,,6.690.000 VND,2GB,"12 MP, f/1.8, 28mm (wide), PDAF, OIS",750 x 1334 pixels,256GB,4.7 inches,Retina IPS LCD,Nano-SIM,138.4 x 67.3 x 7.3 mm (5.45 x 2.65 x 0.29 in),,,148 g (5.22 oz),Wi-Fi 802.11 a/b/g/n/ac
