bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-64gb-chinh-hang-vna,iPhone 11 Pro Max 64GB Chính Hãng VN/A,    iOS 13,,,26.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    64GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-512gb-like-new-99,iPhone 12 Pro 512GB (Like New 99%),    iOS 14,,,26.990.000,,    3 Camera,    1170 x 2532 pixels,    512GB,    6.1 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-256gb-ban-my,iPhone 12 Pro 256GB mới 100%,    iOS 14,,,34.090.000,,    3 Camera,    1170 x 2532 pixels,    256GB,    6.1 inches,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-512gb-chinh-hang-vn-a-clone-vi,iPhone 11 Pro Max 512GB Chính Hãng VN/A,    iOS 13,,,27.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    512GB,    6.5 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-64gb-esim,iPhone XS Max 64GB mới 100%,    iOS 12,,,16.490.000,    4GB,    2 camera 12 MP,    1242 x 2688 pixels,    64GB,    6.5 inch,,,,,,,
,,    Apple A13 Bionic (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-pro-max-256gb-chinh-hang-vn-a-clone,iPhone 11 Pro Max 256GB Chính Hãng VN/A,    iOS 13,,,32.990.000,    4GB,    3 Camera,    1242 x 2688 pixels,    256GB,    6.5 inches,,,,,,,
,,    Apple A14 Bionic (5 nm),"    12 MP, f/2.2 + SL 3D",,https://www.viettablet.com/iphone-12-pro-256gb-chua-acvive-troi-bao-hanh,iPhone 12 Pro 256GB (Chưa Acvive - Trôi Bảo Hành),    iOS 14,,,27.590.000,,    3 Camera,    1170 x 2532 pixels,    256GB,    6.1 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-512gb-cu,iPhone XS Max 512GB (Like New 99%),    iOS 12,,,12.990.000,    4 GB,    2 camera 12 MP,    1242 x 2688 pixels,    512 GB,    6.5 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-256gb-esim,iPhone XS Max 256GB mới 100%,    iOS 12,,,16.590.000,    4GB,    2 camera 12 MP,    1242 x 2688 pixels,    256 GB,    6.5 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-chua-active-tbh,iPhone XS Max 64GB mới 100% Chưa active VN/A TBH,    iOS 12,,,15.190.000,    4 GB,     2 camera 12 MP,    1242 x 2688 pixels,    64 GB,    6.5 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-256gb-chua-active-tbh,iPhone XS Max 256GB mới 100% Chưa active VN/A TBH,    iOS 12,,,17.390.000,    4GB,    2 camera 12 MP,    1242 x 2688 pixels,    256 GB,    6.5 inch,,,,,,,
,,     Apple A13 (7 nm+),    12 MP,,https://www.viettablet.com/iphone-11-64gb-like-new-99,iPhone 11 64GB (Like New 99%),     IOS 13,,,11.990.000,    4GB,    2 Camera,     828 x 1792 pixels,    64GB,     6.1 inches,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-512gb-chua-active-tbh,iPhone XS Max 512GB mới 100% Chưa active VN/A TBH,    iOS 12,,,18.990.000,    4GB,    2 camera 12 MP,    1242 x 2688 pixels,    512 GB,    6.5 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-64gb-cpo,iPhone XS Max 64GB (CPO) Mới Chưa Active,    iOS 12,,,16.290.000,    4 GB,     2 camera 12 MP,    1242 x 2688 pixels,    64 GB,    6.5 inch,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/iphone-xs-max-256gb-cpo-moi-chua-active-clone,iPhone XS Max 256GB (CPO) Mới Chưa Active,    iOS 12,,,18.390.000,    4 GB,     2 camera 12 MP,    1242 x 2688 pixels,    64 GB,    6.5 inch,,,,,,,
